model,loss_func,timespan,dq,hit_rate_train,interval_score_train,hit_rate_test,interval_score_test
AGDP,beta,16,0.1,0.12244897959183673,245473148062.58786,0.5,2985124581084.9097
AGDP,beta,16,0.1163265306122449,0.12244897959183673,200515033446.4207,0.5,2665331406048.6367
AGDP,beta,16,0.1326530612244898,0.14285714285714285,175203779715.61847,0.5,2231220380353.776
AGDP,beta,16,0.1489795918367347,0.14285714285714285,155082897648.92862,0.5,2035781681058.669
AGDP,beta,16,0.1653061224489796,0.1836734693877551,140543602360.51123,0.5,1864227269861.6477
AGDP,beta,16,0.1816326530612245,0.20408163265306123,125772009001.71233,0.5,1409415789667.008
AGDP,beta,16,0.1979591836734694,0.20408163265306123,114128532462.08366,0.5,1362637338765.7773
AGDP,beta,16,0.2142857142857143,0.22448979591836735,97127049899.67181,1.0,725912530477.6316
AGDP,beta,16,0.2306122448979592,0.22448979591836735,91369431765.484,1.0,725488386906.0356
AGDP,beta,16,0.2469387755102041,0.22448979591836735,80789066941.65224,1.0,857194275589.0441
AGDP,beta,16,0.263265306122449,0.2653061224489796,76906366048.25594,1.0,859052424502.1389
AGDP,beta,16,0.2795918367346939,0.2857142857142857,71417811480.1711,1.0,922777128839.7017
AGDP,beta,16,0.29591836734693877,0.30612244897959184,68609423278.39542,1.0,923151285836.5912
AGDP,beta,16,0.3122448979591837,0.32653061224489793,65256358185.91253,1.0,971274583981.2891
AGDP,beta,16,0.3285714285714286,0.3469387755102041,63073919105.883224,1.0,973558753095.0881
AGDP,beta,16,0.3448979591836735,0.3469387755102041,60510488273.864685,1.0,1027067077110.1624
AGDP,beta,16,0.36122448979591837,0.3469387755102041,58829844141.54814,1.0,1027105404617.1327
AGDP,beta,16,0.37755102040816324,0.3673469387755102,57285976482.989716,1.0,1028049131372.6826
AGDP,beta,16,0.3938775510204082,0.3877551020408163,55352472371.54896,1.0,1103176976726.8398
AGDP,beta,16,0.4102040816326531,0.3877551020408163,54142734064.67071,1.0,1103229061241.1191
AGDP,beta,16,0.42653061224489797,0.42857142857142855,53020724715.45725,1.0,1104180290475.0947
AGDP,beta,16,0.44285714285714284,0.42857142857142855,51825372075.76233,1.0,1146164621378.9739
AGDP,beta,16,0.4591836734693878,0.46938775510204084,50288171460.82897,1.0,1314896168625.9712
AGDP,beta,16,0.4755102040816327,0.46938775510204084,49545978246.36113,1.0,1313600049111.169
AGDP,beta,16,0.49183673469387756,0.4897959183673469,48922525464.6619,1.0,1337687712204.7173
AGDP,beta,16,0.5081632653061224,0.5102040816326531,48199645219.80801,1.0,1445367249613.7358
